Cash Account,Expenditure Account, ,FYTD Appropriated,Prior Yr Enc,FYTD Expendable,FYTD Expended,MTD Expended,Encumbrance,Future Enc,FYTD Unencumbered,% Exp/Enc,Fund,Func,Function One Digit Level,Function Two Digit Level,Object,Object Level,SCC,Subject,Subject Two Digit Level,OPU,Opu One Digit Level,Job,IL
001-0000,001-1100-111-0000-000000-000-00-000,CERTIFIED TECH,79793.91,0.00,79793.91,55062.55,6682.84,0.00,0,24731.36,69.0059554700,001,1100,1000,1100,111,100,0000,000000,000000,000,000,000,00
001-0000,001-1100-112-0000-000000-000-00-000,SUBSTITUTE TEACHER,115366.21,0.00,115366.21,56835.29,10638.00,0.00,0,58530.92,49.2651097800,001,1100,1000,1100,112,100,0000,000000,000000,000,000,000,00
001-0000,001-1100-119-0000-000000-000-00-000,SUMMER SCHOOL TEACHERS,5854.50,0.00,5854.50,4200.00,0,0.00,0,1654.50,71.7396874200,001,1100,1000,1100,119,100,0000,000000,000000,000,000,000,00
001-0000,001-1100-132-0000-000000-000-00-000,TEACHER SEVERANCE PAY,0.00,0.00,0.00,0,0,0.00,0,0.00,0,001,1100,1000,1100,132,100,0000,000000,000000,000,000,000,00
001-0000,001-1100-139-0000-000000-000-00-000,TEACHER OPT OUT/PERSONAL DAYS,18050.00,0.00,18050.00,9800.00,0,0.00,0,8250.00,54.2936288100,001,1100,1000,1100,139,100,0000,000000,000000,000,000,000,00
001-0000,001-1100-141-0000-000000-000-00-000,AIDES/TECH SALARIES,398602.75,0.00,398602.75,279782.98,32269.86,0.00,0,118819.77,70.1909306900,001,1100,1000,1100,141,100,0000,000000,000000,000,000,000,00
001-0000,001-1100-142-0000-000000-000-16-000,AIDES/TECH SUBSTITUTES,25439.08,0.00,25439.08,12716.08,1539.00,0.00,0,12723.00,49.9863988800,001,1100,1000,1100,142,100,0000,000000,000000,000,000,000,16
001-0000,001-1100-169-0000-000000-000-00-000,AIDES/TECH OPT OUT/PERS DAY,8250.00,0.00,8250.00,7000.00,0,0.00,0,1250.00,84.8484848500,001,1100,1000,1100,169,100,0000,000000,000000,000,000,000,00
001-0000,001-1100-211-0000-000000-000-00-000,STRS,616433.34,0.00,616433.34,341236.30,44026.00,0.00,0,275197.04,55.3565613400,001,1100,1000,1100,211,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-212-0000-000000-000-00-000,STRS 1%,34517.42,0.00,34517.42,24215.58,3372.35,0.00,0,10301.84,70.1546639300,001,1100,1000,1100,212,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-221-0000-000000-000-00-000,AIDES/TECH SERS,38101.16,0.00,38101.16,25704.00,3213.00,6027.34,0,6369.82,83.2818213400,001,1100,1000,1100,221,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-231-0000-000000-000-00-000,TUITION REIMBURSEMENT,22658.55,900.00,23558.55,3183.00,405.00,1492.00,0,18883.55,19.8441754700,001,1100,1000,1100,231,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-239-0000-000000-000-00-000,LICENSE REIMBURSEMENT,4238.00,0.00,4238.00,3122.00,520.00,1987.00,0,-871.00,120.5521472400,001,1100,1000,1100,239,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-241-0000-000000-000-00-000,CERT MEDICAL INSURANCE,791646.54,0.00,791646.54,665645.26,86779.77,0.00,0,126001.28,84.0836442000,001,1100,1000,1100,241,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-242-0000-000000-000-00-000,CERT LIFE INSURANCE,1973.50,0.00,1973.50,1237.50,157.50,0.00,0,736.00,62.7058525500,001,1100,1000,1100,242,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-243-0000-000000-000-00-000,CERT DENTAL INSURANCE,40964.80,0.00,40964.80,31970.17,4146.41,0.00,0,8994.63,78.0430271800,001,1100,1000,1100,243,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-244-0000-000000-000-00-000,CERT VISION INSURANCE,7054.93,0.00,7054.93,5325.21,683.99,0.00,0,1729.72,75.4821096700,001,1100,1000,1100,244,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-249-0000-000000-000-00-000,CERT MEDICARE,66389.91,0.00,66389.91,39016.86,4232.66,0.00,2161.35,27373.05,58.7692617700,001,1100,1000,1100,249,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-251-0000-000000-000-00-000,CLASS MEDICAL INSURANCE,46069.45,0.00,46069.45,41969.69,3997.45,0.00,0,4099.76,91.1009139500,001,1100,1000,1100,251,200,0000,000000,000000,000,000,000,00
001-0000,001-1100-252-0000-000000-000-00-000,CLASS LIFE INSURANCE,450.00,0.00,450.00,297.50,35.00,0.00,0,152.50,66.1111111100,001,1100,1000,1100,252,200,0000,000000,000000,000,000,000,00
