Fund,SCC,Cash Account,Full Account Code,Receipt One Digit Level,Receipt Two Digit Level,Receipt,Description,Subject,OPU,MTD Received,FYTD Received,FYTD Receivable,Percent Available
001,0000,001-0000,001-1111-0000-000000-000,1000,1100,1111,REAL ESTATE TAX,000000,000,1981741.07,3575382.58,4332058.50,17.4668906200
001,0000,001-0000,001-1122-0000-000000-000,1000,1100,1122,PUBLIC UTILITY PERS PROP TAX,000000,000,0,33595.72,207001.82,83.7703262700
001,0000,001-0000,001-1130-0000-000000-000,1000,1100,1130,INCOME TAX,000000,000,0,1324036.43,1776673.63,25.4766656300
001,0000,001-0000,001-1190-0000-000000-000,1000,1100,1190,MFG HOMES TAX,000000,000,0,898.34,4508.89,80.0762493700
001,0000,001-0000,001-1221-0000-000000-001,1000,1200,1221,TUITION SF14,000000,001,0,41461.51,43441.34,4.5574791200
001,0000,001-0000,001-1223-0000-000000-001,1000,1200,1223,SPECIAL ED TUITION/EXCESS COSTS,000000,001,0,48605.17,270894.20,82.0575080600
001,0000,001-0000,001-1410-0000-000000-001,1000,1400,1410,INVESTMENT INTEREST,000000,001,18234.51,181421.96,338252.95,46.3650028800
001,0000,001-0000,001-1720-0000-000000-002,1000,1700,1720,HS WORKBOOK FEES,000000,002,3752.65,19200.65,32533.07,40.9811308900
001,0000,001-0000,001-1720-0000-000000-003,1000,1700,1720,MS WORKBOOK FEES,000000,003,1314.00,13363.06,19473.68,31.3788662400
001,0000,001-0000,001-1720-0000-000000-004,1000,1700,1720,ELEM WORKBOOK FEES,000000,004,804.00,13274.00,14275.00,7.0122591900
001,0000,001-0000,001-1790-0000-000000-003,1000,1700,1790,MIDDLE SCHOOL COMPUTER FEES,000000,003,0,100.00,1700.00,94.1176470600
001,0000,001-0000,001-1810-0000-000000-000,1000,1800,1810,PROPERTY RENTAL,000000,000,400.00,2000.00,1275.00,-56.8627451000
001,0000,001-0000,001-1822-0000-000000-000,1000,1800,1822,CONTRIBUTIONS & DONATIONS UNRESTRICTED,000000,000,0,6289.17,6650.00,5.4260150400
001,0000,001-0000,001-1830-0000-000000-000,1000,1800,1830,SERVICES PROVIDED OTHERS,000000,000,0,340.00,398.00,14.5728643200
001,0000,001-0000,001-1899-0000-000000-000,1000,1800,1899,MISC RECEIPTS,000000,000,0,5415.47,15104.81,64.1473808700
001,0000,001-0000,001-1933-0000-000000-000,1000,1900,1933,SALE OF PROPERTY,000000,000,0,4159.00,720.17,-477.5025341200
001,0000,001-0000,001-3110-0000-000000-001,3000,3100,3110,SCHOOL FOUNDATION,000000,001,557948.18,4522864.77,6976813.75,35.1729180100
001,0000,001-0000,001-3131-0000-000000-001,3000,3100,3131,ROLLBACK,000000,001,0,256888.75,516221.80,50.2367490100
001,0000,001-0000,001-3132-0000-000000-001,3000,3100,3132,HOMESTEAD,000000,001,0,37509.26,71976.12,47.8865212500
001,0000,001-0000,001-3190-0000-000000-000,3000,3100,3190,MEDICAID/CASINO,000000,000,1860.06,85068.89,158432.41,46.3058789500
001,0000,001-0000,001-3211-0000-000000-000,3000,3200,3211,DISADVANTAGED PUPIL IMPACT AID DPIA,000000,000,2779.80,22292.16,34046.12,34.5236402900
001,0000,001-0000,001-3215-0000-000000-000,3000,3200,3215,CAREER TECHNICAL EDUCATION,000000,000,3693.14,30271.43,49652.07,39.0328943000
001,0000,001-0000,001-3216-0000-000000-000,3000,3200,3216,GIFTED EDUCATION,000000,000,6545.23,41517.19,65509.41,36.6240819400
001,0000,001-0000,001-3217-0000-000000-000,3000,3200,3217,ENGLISH LEARNER,000000,000,186.29,1481.90,2236.12,33.7289590900
001,0000,001-0000,001-3218-0000-000000-000,3000,3200,3218,STUDENT WELLNESS AND SUCCESS,000000,000,18302.59,148245.95,240963.33,38.4777966000
001,0000,001-0000,001-5300-0000-000000-000,5000,5300,5300,REFUND OF PRIOR YEAR EXPENDITURE,000000,000,0,11984.00,41984.05,71.4558266800
